dbname	url	slice
trwikimedia	https://tr.wikimedia.org	s3.labsdb
dewikibooks	https://de.wikibooks.org	s3.labsdb
crwiktionary	https://cr.wiktionary.org	s3.labsdb
srnwiki	https://srn.wikipedia.org	s3.labsdb
htwikisource	https://ht.wikisource.org	s3.labsdb
bmwikibooks	https://bm.wikibooks.org	s3.labsdb
pawiki	https://pa.wikipedia.org	s3.labsdb
mznwiki	https://mzn.wikipedia.org	s3.labsdb
kowikisource	https://ko.wikisource.org	s3.labsdb
kvwiki	https://kv.wikipedia.org	s3.labsdb
hiwiktionary	https://hi.wiktionary.org	s3.labsdb
tewiki	https://te.wikipedia.org	s3.labsdb
rowiki	https://ro.wikipedia.org	s7.labsdb
knwikibooks	https://kn.wikibooks.org	s3.labsdb
vowikiquote	https://vo.wikiquote.org	s3.labsdb
glwikibooks	https://gl.wikibooks.org	s3.labsdb
oswiki	https://os.wikipedia.org	s3.labsdb
cbk_zamwiki	https://cbk-zam.wikipedia.org	s3.labsdb
viwikiquote	https://vi.wikiquote.org	s3.labsdb
kwwiki	https://kw.wikipedia.org	s3.labsdb
lmowiki	https://lmo.wikipedia.org	s3.labsdb
kowikiquote	https://ko.wikiquote.org	s3.labsdb
plwikimedia	https://pl.wikimedia.org	s3.labsdb
arwikinews	https://ar.wikinews.org	s3.labsdb
chwikibooks	https://ch.wikibooks.org	s3.labsdb
jawikibooks	https://ja.wikibooks.org	s3.labsdb
kaawiki	https://kaa.wikipedia.org	s3.labsdb
ndswiktionary	https://nds.wiktionary.org	s3.labsdb
extwiki	https://ext.wikipedia.org	s3.labsdb
mrjwiki	https://mrj.wikipedia.org	s3.labsdb
urwiktionary	https://ur.wiktionary.org	s3.labsdb
krwikiquote	https://kr.wikiquote.org	s3.labsdb
wuuwiki	https://wuu.wikipedia.org	s3.labsdb
angwiktionary	https://ang.wiktionary.org	s3.labsdb
pamwiki	https://pam.wikipedia.org	s3.labsdb
eswikiquote	https://es.wikiquote.org	s3.labsdb
tkwikiquote	https://tk.wikiquote.org	s3.labsdb
frwikinews	https://fr.wikinews.org	s3.labsdb
mrwikisource	https://mr.wikisource.org	s3.labsdb
eowikinews	https://eo.wikinews.org	s3.labsdb
gvwiki	https://gv.wikipedia.org	s3.labsdb
bpywiki	https://bpy.wikipedia.org	s3.labsdb
aswiki	https://as.wikipedia.org	s3.labsdb
arwikimedia	https://ar.wikimedia.org	s3.labsdb
nahwiktionary	https://nah.wiktionary.org	s3.labsdb
nawikiquote	https://na.wikiquote.org	s3.labsdb
bewikiquote	https://be.wikiquote.org	s3.labsdb
pagwiki	https://pag.wikipedia.org	s3.labsdb
mgwiktionary	https://mg.wiktionary.org	s3.labsdb
mtwiki	https://mt.wikipedia.org	s3.labsdb
kshwiki	https://ksh.wikipedia.org	s3.labsdb
bdwikimedia	https://bd.wikimedia.org	s3.labsdb
hewiki	https://he.wikipedia.org	s7.labsdb
lawikibooks	https://la.wikibooks.org	s3.labsdb
elwiktionary	https://el.wiktionary.org	s3.labsdb
ltwikisource	https://lt.wikisource.org	s3.labsdb
dvwiki	https://dv.wikipedia.org	s3.labsdb
brwikisource	https://br.wikisource.org	s3.labsdb
diqwiki	https://diq.wikipedia.org	s3.labsdb
sewiki	https://se.wikipedia.org	s3.labsdb
arwikibooks	https://ar.wikibooks.org	s3.labsdb
sowiki	https://so.wikipedia.org	s3.labsdb
omwiki	https://om.wikipedia.org	s3.labsdb
bswikiquote	https://bs.wikiquote.org	s3.labsdb
ptwikivoyage	https://pt.wikivoyage.org	s3.labsdb
bjnwiki	https://bjn.wikipedia.org	s3.labsdb
enwikiversity	https://en.wikiversity.org	s3.labsdb
swwikibooks	https://sw.wikibooks.org	s3.labsdb
iawikibooks	https://ia.wikibooks.org	s3.labsdb
crwiki	https://cr.wikipedia.org	s3.labsdb
lvwiki	https://lv.wikipedia.org	s3.labsdb
avwiktionary	https://av.wiktionary.org	s3.labsdb
mrwiki	https://mr.wikipedia.org	s3.labsdb
plwiki	https://pl.wikipedia.org	s2.labsdb
biwiki	https://bi.wikipedia.org	s3.labsdb
tawikiquote	https://ta.wikiquote.org	s3.labsdb
tlwiktionary	https://tl.wiktionary.org	s3.labsdb
xhwiktionary	https://xh.wiktionary.org	s3.labsdb
cywikiquote	https://cy.wikiquote.org	s3.labsdb
ruwiktionary	https://ru.wiktionary.org	s3.labsdb
thwikiquote	https://th.wikiquote.org	s3.labsdb
maiwiki	https://mai.wikipedia.org	s3.labsdb
metawiki	https://meta.wikimedia.org	s7.labsdb
iewikibooks	https://ie.wikibooks.org	s3.labsdb
plwiktionary	https://pl.wiktionary.org	s3.labsdb
zhwikinews	https://zh.wikinews.org	s3.labsdb
klwiki	https://kl.wikipedia.org	s3.labsdb
idwikisource	https://id.wikisource.org	s3.labsdb
shwiki	https://sh.wikipedia.org	s3.labsdb
skwikiquote	https://sk.wikiquote.org	s3.labsdb
kswikibooks	https://ks.wikibooks.org	s3.labsdb
kgwiki	https://kg.wikipedia.org	s3.labsdb
itwiktionary	https://it.wiktionary.org	s3.labsdb
hiwiki	https://hi.wikipedia.org	s3.labsdb
crhwiki	https://crh.wikipedia.org	s3.labsdb
wikimania2013wiki	https://wikimania2013.wikimedia.org	s3.labsdb
ruewiki	https://rue.wikipedia.org	s3.labsdb
frwiki	https://fr.wikipedia.org	s6.labsdb
iowiktionary	https://io.wiktionary.org	s3.labsdb
fawikivoyage	https://fa.wikivoyage.org	s3.labsdb
iewiki	https://ie.wikipedia.org	s3.labsdb
fiwiktionary	https://fi.wiktionary.org	s3.labsdb
etwiktionary	https://et.wiktionary.org	s3.labsdb
cebwiki	https://ceb.wikipedia.org	s3.labsdb
gawiki	https://ga.wikipedia.org	s3.labsdb
nzwikimedia	https://nz.wikimedia.org	s3.labsdb
urwiki	https://ur.wikipedia.org	s3.labsdb
mlwiktionary	https://ml.wiktionary.org	s3.labsdb
nlwiki	https://nl.wikipedia.org	s2.labsdb
zhwikisource	https://zh.wikisource.org	s3.labsdb
etwiki	https://et.wikipedia.org	s3.labsdb
votewiki	https://vote.wikimedia.org	s3.labsdb
quwikibooks	https://qu.wikibooks.org	s3.labsdb
alswiki	https://als.wikipedia.org	s3.labsdb
mwlwiki	https://mwl.wikipedia.org	s3.labsdb
wikimania2005wiki	https://wikimania2005.wikimedia.org	s3.labsdb
frwikiquote	https://fr.wikiquote.org	s3.labsdb
mdfwiki	https://mdf.wikipedia.org	s3.labsdb
gawikibooks	https://ga.wikibooks.org	s3.labsdb
bswikibooks	https://bs.wikibooks.org	s3.labsdb
bewikibooks	https://be.wikibooks.org	s3.labsdb
mrwikiquote	https://mr.wikiquote.org	s3.labsdb
iswiktionary	https://is.wiktionary.org	s3.labsdb
nnwikiquote	https://nn.wikiquote.org	s3.labsdb
tawikisource	https://ta.wikisource.org	s3.labsdb
sawikibooks	https://sa.wikibooks.org	s3.labsdb
ruwikibooks	https://ru.wikibooks.org	s3.labsdb
lvwikibooks	https://lv.wikibooks.org	s3.labsdb
thwikisource	https://th.wikisource.org	s3.labsdb
pswiki	https://ps.wikipedia.org	s3.labsdb
hrwiktionary	https://hr.wiktionary.org	s3.labsdb
dewikinews	https://de.wikinews.org	s3.labsdb
azwiki	https://az.wikipedia.org	s3.labsdb
stwiki	https://st.wikipedia.org	s3.labsdb
iiwiki	https://ii.wikipedia.org	s3.labsdb
vowikibooks	https://vo.wikibooks.org	s3.labsdb
kowikinews	https://ko.wikinews.org	s3.labsdb
bugwiki	https://bug.wikipedia.org	s3.labsdb
